source_row,url,price_tenge,price_is_installment,city,district,building_type,complex_name,build_year,is_under_construction,floor,floor_total,floor_is_first,floor_is_last,area_total_m2,kitchen_area_m2,apartment_condition,bathroom,balcony,balcony_glazed,door,phone,internet,parking,furnished,flooring,ceiling_height_m,security_features,former_dormitory,exchange_possible,rooms,rooms_bucket_estimated,rooms_estimate_is_heuristic,parse_warnings
2,https://krisha.kz/a/show/1000486032,56500000.0,False,Астана,Нура,монолитный,Turan Tower,2026.0,True,5.0,27.0,False,False,65.3,10.0,rough,2 с/у и более,,,,,,паркинг,,,3.2,[],False,False,,3-room,True,[]
3,https://krisha.kz/a/show/1003520266,52500000.0,False,Астана,Алматы,монолитный,View Park Family,2022.0,False,2.0,20.0,False,False,90.0,56.0,fresh_renovation,2 с/у и более,балкон,,деревянная,отдельный,,паркинг,полностью,ламинат,2.85,"['охрана', 'домофон', 'видеонаблюдение', 'видеодомофон']",False,False,,3-room,True,[]
7,https://krisha.kz/a/show/1006614188,84999999.0,False,Астана,Алматы,кирпичный,Фирдаус,2025.0,False,5.0,12.0,False,False,110.0,12.1,fresh_renovation,2 с/у и более,несколько балконов или лоджий,,металлическая,есть возможность подключения,проводной,паркинг,частично,ламинат,2.8,"['домофон', 'видеонаблюдение', 'видеодомофон']",False,False,,4+room,True,[]
15,https://krisha.kz/a/show/1011106536,23700000.0,False,Астана,Сарыарка,кирпичный,Акерке 2,2025.0,False,10.0,22.0,False,False,35.0,10.0,fresh_renovation,совмещенный,лоджия,,металлическая,есть возможность подключения,ADSL,рядом охраняемая стоянка,частично,ламинат,2.7,"['домофон', 'кодовый замок', 'сигнализация', 'видеонаблюдение']",False,False,,1-room,True,[]
8,https://krisha.kz/a/show/1006735760,51000000.0,False,Астана,Алматы,монолитный,ХАБАР,2021.0,False,3.0,10.0,False,False,80.0,,unknown,2 с/у и более,,,,,,паркинг,полностью,,2.7,[],False,False,,3-room,True,[]
12,https://krisha.kz/a/show/1009402004,78950600.0,True,Астана,Есильский,монолитный,Sanara,2027.0,True,,,,,106.69,,unknown,2 с/у и более,,,,,,,,,3.0,[],,,,4+room,True,['pipe-delimited parameters fallback detected']
97,https://krisha.kz/a/show/1013662433,27500000.0,False,Астана,Алматы,кирпичный,Orleu,2026.0,True,2.0,9.0,False,False,39.0,10.0,unknown,,,,,,,,,,,[],,False,,1-room,True,['pipe-delimited parameters fallback detected']
20,https://krisha.kz/a/show/1012086048,22400000.0,False,Астана,Алматы,,,1989.0,False,6.0,6.0,False,True,51.0,,unknown,,балкон,,,,,,,,,[],False,False,,2-room,True,['pipe-delimited parameters fallback detected']
21,https://krisha.kz/a/show/1012125254,22500000.0,False,Астана,Алматы,кирпичный,,2006.0,False,3.0,5.0,False,False,43.0,,fresh_renovation,совмещенный,балкон,True,металлическая,есть возможность подключения,ADSL,рядом охраняемая стоянка,частично,ламинат,2.7,"['домофон', 'видеонаблюдение']",False,False,,1-room,True,[]
37,https://krisha.kz/a/show/1013578608,16000000.0,False,Астана,Алматы,кирпичный,,1992.0,False,5.0,5.0,False,True,36.0,,fresh_renovation,,,,,,,,,,2.7,[],False,False,,1-room,True,[]
43,https://krisha.kz/a/show/695373596,27500000.0,False,Астана,Алматы,кирпичный,,1986.0,False,2.0,5.0,False,False,49.9,,fresh_renovation,раздельный,балкон,,металлическая,,,,полностью,ламинат,2.7,['домофон'],False,False,,2-room,True,[]
58,https://krisha.kz/a/show/1013824197,15700000.0,False,Астана,Алматы,панельный,,1981.0,False,1.0,5.0,True,False,30.2,,needs_renovation,совмещенный,,,металлическая,,,,частично,ламинат,,"['решетки на окнах', 'домофон']",False,False,,1-room,True,[]
133,https://krisha.kz/a/show/1012455052,18500000.0,False,Астана,Алматы,кирпичный,,2003.0,False,2.0,5.0,False,False,35.4,,unknown,,,,,,,,,,3.0,[],,False,,1-room,True,['pipe-delimited parameters fallback detected']
161,https://krisha.kz/a/show/1013735443,32000000.0,False,Астана,Алматы,монолитный,,2014.0,False,14.0,16.0,False,False,66.0,,unknown,,,,,,,,,,2.7,[],,True,,3-room,True,['pipe-delimited parameters fallback detected']
87,https://krisha.kz/a/show/1011447964,,False,,,,,,,,,,,,,unknown,,,,,,,,,,,[],,,,,False,"['status=error, no advert_info/parameters to parse']"
11,https://krisha.kz/a/show/1009264234,33000000.0,False,Астана,Есильский,монолитный,MOD Frame,2026.0,True,12.0,12.0,False,True,47.0,,unknown,совмещенный,,,бронированная,,,паркинг,,,3.0,[],False,False,,2-room,True,[]
