source_row,url,status,http_status,advert_info,parameters,lat,lon,fetched_at,error
2,https://krisha.kz/a/show/1000486032,ok,200.0,"56 500 000 ₸ Город Астана, Нура р-н показать на карте Тип дома монолитный Жилой комплекс Turan Tower Год постройки 2026 Этаж 5 из 27 Площадь 65.3 м², Площадь кухни — 10 м² Состояние квартиры черновая отделка",Санузел 2 с/у и более Парковка паркинг Высота потолков 3.2 м Бывшее общежитие нет Возможен обмен Нет,51.126178,71.402707,2026-07-13T15:47:25,
3,https://krisha.kz/a/show/1003520266,ok,200.0,"52 500 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома монолитный Жилой комплекс View Park Family Год постройки 2022 Этаж 2 из 20 Площадь 90 м², Площадь кухни — 56 м² Состояние квартиры свежий ремонт","Санузел 2 с/у и более Балкон балкон Дверь деревянная Телефон отдельный Парковка паркинг Квартира меблирована полностью Пол ламинат Высота потолков 2.85 м Безопасность охрана, домофон, видеонаблюдение, видеодомофон Бывшее общежитие нет Возможен обмен Нет",51.115261,71.510083,2026-07-13T15:47:30,
7,https://krisha.kz/a/show/1006614188,ok,200.0,"84 999 999 ₸ Город Астана, Алматы р-н показать на карте Тип дома кирпичный Жилой комплекс Фирдаус Год постройки 2025 Этаж 5 из 12 Площадь 110 м², Площадь кухни — 12.1 м² Состояние квартиры свежий ремонт","Санузел 2 с/у и более Балкон несколько балконов или лоджий Дверь металлическая Телефон есть возможность подключения Интернет проводной Парковка паркинг Квартира меблирована частично Пол ламинат Высота потолков 2.8 м Безопасность домофон, видеонаблюдение, видеодомофон Бывшее общежитие нет Возможен обмен Нет",51.117317269673,71.51270284443,2026-07-13T15:47:51,
15,https://krisha.kz/a/show/1011106536,ok,200.0,"23 700 000 ₸ Город Астана, Сарыарка р-н показать на карте Тип дома кирпичный Жилой комплекс Акерке 2 Год постройки 2025 Этаж 10 из 22 Площадь 35 м², Площадь кухни — 10 м² Состояние квартиры свежий ремонт","Санузел совмещенный Балкон лоджия Дверь металлическая Телефон есть возможность подключения Интернет ADSL Парковка рядом охраняемая стоянка Квартира меблирована частично Пол ламинат Высота потолков 2.7 м Безопасность домофон, кодовый замок, сигнализация, видеонаблюдение Бывшее общежитие нет Возможен обмен Нет",51.168629452144,71.396319428487,2026-07-13T15:48:32,
8,https://krisha.kz/a/show/1006735760,ok,200.0,"51 000 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома монолитный Жилой комплекс ХАБАР Год постройки 2021 Этаж 3 из 10 Площадь 80 м² Санузел 2 с/у и более",Парковка паркинг Квартира меблирована полностью Высота потолков 2.7 м Бывшее общежитие нет Возможен обмен Нет,51.1293931087,71.482721929047,2026-07-13T15:47:56,
12,https://krisha.kz/a/show/1009402004,ok,200.0,"от 78 950 600 ₸ Рассрочка Город Астана, Есильский р-н показать на карте Тип дома монолитный Жилой комплекс Sanara Год постройки 2027 Площадь 106.69 м² Санузел 2 с/у и более Высота потолков 3 м","Город Астана, Есильский р-н показать на карте | Тип дома монолитный | Жилой комплекс Sanara | Год постройки 2027 | Площадь 106.69 м² | Санузел 2 с/у и более | Высота потолков 3 м",51.080510863237,71.418951469314,2026-07-13T15:48:15,
97,https://krisha.kz/a/show/1013662433,ok,200.0,"27 500 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома кирпичный Жилой комплекс Orleu Год постройки 2026 Этаж 2 из 9 Площадь 39 м², Площадь кухни — 10 м² Возможен обмен Нет","Город Астана, Алматы р-н показать на карте | Тип дома кирпичный | Жилой комплекс Orleu | Год постройки 2026 | Этаж 2 из 9 | Площадь 39 м², Площадь кухни — 10 м² | Возможен обмен Нет",51.129245279201,71.491166684709,2026-07-13T15:55:43,
20,https://krisha.kz/a/show/1012086048,ok,200.0,"22 400 000 ₸ Город Астана, Алматы р-н показать на карте Год постройки 1989 Этаж 6 из 6 Площадь 51 м² Балкон балкон Бывшее общежитие нет Возможен обмен Нет","Город Астана, Алматы р-н показать на карте | Год постройки 1989 | Этаж 6 из 6 | Площадь 51 м² | Балкон балкон | Бывшее общежитие нет | Возможен обмен Нет",51.158111,71.491272,2026-07-13T15:48:59,
21,https://krisha.kz/a/show/1012125254,ok,200.0,"22 500 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома кирпичный Год постройки 2006 Этаж 3 из 5 Площадь 43 м² Состояние квартиры свежий ремонт Санузел совмещенный","Балкон балкон Балкон остеклён да Дверь металлическая Телефон есть возможность подключения Интернет ADSL Парковка рядом охраняемая стоянка Квартира меблирована частично Пол ламинат Высота потолков 2.7 м Безопасность домофон, видеонаблюдение Бывшее общежитие нет Возможен обмен Нет",51.155331,71.496806,2026-07-13T15:49:04,
37,https://krisha.kz/a/show/1013578608,ok,200.0,"16 000 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома кирпичный Год постройки 1992 Этаж 5 из 5 Площадь 36 м² Состояние квартиры свежий ремонт Высота потолков 2.7 м",Бывшее общежитие нет Возможен обмен Нет,51.151614,71.497443,2026-07-13T15:50:30,
43,https://krisha.kz/a/show/695373596,ok,200.0,"27 500 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома кирпичный Год постройки 1986 Этаж 2 из 5 Площадь 49.9 м² Состояние квартиры свежий ремонт Санузел раздельный",Балкон балкон Дверь металлическая Квартира меблирована полностью Пол ламинат Высота потолков 2.7 м Безопасность домофон Бывшее общежитие нет Возможен обмен Нет,51.155371058693,71.490273626983,2026-07-13T15:51:03,
58,https://krisha.kz/a/show/1013824197,ok,200.0,"15 700 000 ₸ Город Астана, Алматы р-н показать на карте Тип дома панельный Год постройки 1981 Этаж 1 из 5 Площадь 30.2 м² Состояние квартиры не новый, но аккуратный ремонт Санузел совмещенный","Дверь металлическая Квартира меблирована частично Пол ламинат Безопасность решетки на окнах, домофон Бывшее общежитие нет Возможен обмен Нет",51.154547176423,71.476870024778,2026-07-13T15:52:21,
